Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID,,,,,
"Balla S.B., Banda T.R., Galic I., N N.M., Naishadham P.P.",56878742000;57207207327;57202373100;57207197301;56669808200;,Validation of Cameriere's third molar maturity index alone and in combination with apical maturity of permanent mandibular second molar for indicating legal age of 14 years in a sample of South Indian children,2019,Forensic Science International,297,,,243,248,,1,10.1016/j.forsciint.2019.02.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062303496&doi=10.1016%2fj.forsciint.2019.02.009&partnerID=40&md5=08708b9efac676e343efd8d1369720d7,14 years; Age assessment; Apical maturity of a mandibular second molar; Child labour; Legal age; Third molar maturity index (I 3M ),"adolescent; adult; article; child; child labor; diagnostic test accuracy study; female; human; human tissue; Indian; major clinical study; male; mandible; mandibular second molar; maturity; mineralization; probability; retrospective study; sensitivity and specificity; third molar; validation process; cross-sectional study; dental age estimation; diagnostic imaging; growth, development and aging; India; molar tooth; panoramic radiography; procedures; secondary dentition; statistical model; tooth apex; validation study; Adolescent; Age Determination by Teeth; Child; Cross-Sectional Studies; Dentition, Permanent; Female; Humans; India; Likelihood Functions; Male; Mandible; Molar; Radiography, Panoramic; Retrospective Studies; Sensitivity and Specificity; Tooth Apex",Article,Final,,Scopus,2-s2.0-85062303496,,,,,
"Balla S.B., Bontala P., Galic I., G L.S., P S.L.M., Kondapaneni J., R S.",56878742000;57194453704;57202373100;57210160529;57210149398;57210150553;57210162850;,Forensic age estimation of 85 male child laborers and 31 rescued female commercial sex workers from Hyderabad in South India,2019,Legal Medicine,40,,,37,42,,,10.1016/j.legalmed.2019.07.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069744024&doi=10.1016%2fj.legalmed.2019.07.003&partnerID=40&md5=da61a8f2d49ed5209c9ec5286c668614,Child labourers; Commercial sex workers; Dental age; Forensic science; Minors; Skeletal age,adolescent; adult; age determination; Article; bone age; child; child labor; clinical assessment; controlled study; dental age estimation; employment; female; forensic science; human; human experiment; India; juvenile; law; male; permanent tooth; responsibility; school child; sex worker; sexual exploitation; statistical analysis; young adult,Article,Final,,Scopus,2-s2.0-85069744024,,,,,
"Balla S.B., Chinni S.S., Galic I., Alwala A.M., Machani P., Cameriere R.",56878742000;56099883100;57202373100;57191884191;57208924700;6507826165;,A cut-off value of third molar maturity index for indicating a minimum age of criminal responsibility: Older or younger than 16 years?,2019,Journal of Forensic and Legal Medicine,65,,,108,112,,1,10.1016/j.jflm.2019.05.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066117353&doi=10.1016%2fj.jflm.2019.05.014&partnerID=40&md5=b52152bd0da16642fb3e9822251f5143,16 years; Dental age estimation; Minimum age of criminal responsibility; Orthopantomograms; Third molar maturity index,"adolescent; adult; Andhra Pradesh; article; case report; child; clinical article; correlation coefficient; dental age estimation; dependent variable; diagnostic test accuracy study; female; gender; human; human experiment; independent variable; interrater reliability; male; maturity; offender; probability; reproducibility; responsibility; sensitivity and specificity; third molar; dental age estimation; diagnostic imaging; growth, development and aging; image processing; India; panoramic radiography; procedures; retrospective study; statistical model; third molar; tooth apex; young adult; Adolescent; Age Determination by Teeth; Child; Female; Humans; Image Processing, Computer-Assisted; India; Likelihood Functions; Logistic Models; Male; Molar, Third; Radiography, Panoramic; Retrospective Studies; Sensitivity and Specificity; Tooth Apex; Young Adult",Article,Final,,Scopus,2-s2.0-85066117353,,,,,
"Balla S.B., Lingam S., Kotra A., P H.R., P K., N N.M., Cameriere R.",56878742000;57209256471;57209252219;57209259102;57196096527;57207197301;6507826165;,New regression models for dental age estimation in children using third molar maturity index: A preliminary analysis testing its usefulness as reliable age marker,2019,Legal Medicine,39,,,35,40,,,10.1016/j.legalmed.2019.06.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067073186&doi=10.1016%2fj.legalmed.2019.06.003&partnerID=40&md5=f4bba200dcdff1b1b3c29ba03303a28a,Children; Dental age estimation; Forensic Odontology; Forensic Science; Regression models; Third molar maturity index,adolescent; adult; article; child; controlled study; correlation coefficient; dental age estimation; dentistry; dependent variable; female; forensic science; girl; human; independent variable; Indian; major clinical study; male; maturity; regression analysis; third molar; validation process,Article,Final,,Scopus,2-s2.0-85067073186,,,,,
"Bedek I., Dumančić J., Lauc T., Marušić M., Čuković-Bagić I.",57208593579;6506051100;6602344355;7005473903;56521511200;,New model for dental age estimation: Willems method applied on fewer than seven mandibular teeth,2019,International Journal of Legal Medicine,,,,,,,,10.1007/s00414-019-02066-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065250377&doi=10.1007%2fs00414-019-02066-5&partnerID=40&md5=2fa2f36d18a1a791eb336367e1c15c69,Croatia; Dental age estimation; Forensic odontology; Newly developed models; Willems method,adolescent; article; child; controlled study; Croatia; Croatian (citizen); dental age estimation; dentistry; developmental stage; female; girl; human; major clinical study; male; mandible; theoretical study,Article,Article in Press,,Scopus,2-s2.0-85065250377,,,,,
"Bhadana S., Indushekar K.R., Saraf B.G., Sardana D., Sheoran N.",57212535024;6507243126;55770771400;55770075400;54409487200;,"Comparative assessment of chronological, dental, and skeletal age in children",2019,Indian Journal of Dental Research,30,5,,687,691,,,10.4103/ijdr.IJDR_698_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076978073&doi=10.4103%2fijdr.IJDR_698_17&partnerID=40&md5=4e721aad7846c8a29ee6962f6929b309,age determination by skeleton; Age determination by teeth; forensic dentistry; forensic medicine,"adolescent; bone age determination; child; dental age estimation; dentistry; human; panoramic radiography; radiography; Adolescent; Age Determination by Skeleton; Age Determination by Teeth; Child; Forensic Dentistry; Humans; Radiography; Radiography, Panoramic",Article,Final,Open Access,Scopus,2-s2.0-85076978073,,,,,
"Bleka Ø., Rolseth V., Dahlberg P.S., Saadé A., Saadé M., Bachs L.",55984511200;6507292761;57202473653;56483129300;57177428200;6603206418;,BioAlder: a tool for assessing chronological age based on two radiological methods,2019,International Journal of Legal Medicine,133,4,,1177,1189,,5,10.1007/s00414-018-1959-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056128156&doi=10.1007%2fs00414-018-1959-5&partnerID=40&md5=2b99fac1ba12b1740971ff456b5a7122,Age estimation; Conditional dependency; Demirjian’s; Greulich and Pyle,"adult; age determination; article; female; human; human experiment; intermethod comparison; Lebanon; major clinical study; male; prediction; tooth; dental age estimation; dentistry; diagnostic imaging; forensic anthropology; panoramic radiography; pathology; procedures; third molar; tooth radiography; Age Determination by Teeth; Forensic Anthropology; Forensic Dentistry; Humans; Molar, Third; Radiography, Dental; Radiography, Panoramic",Article,Final,,Scopus,2-s2.0-85056128156,,,,,
"Bleka Ø., Wisløff T., Dahlberg P.S., Rolseth V., Egeland T.",55984511200;6603325610;57202473653;6507292761;57202571063;,Advancing estimation of chronological age by utilizing available evidence based on two radiographical methods,2019,International Journal of Legal Medicine,133,1,,217,229,,4,10.1007/s00414-018-1848-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046545731&doi=10.1007%2fs00414-018-1848-y&partnerID=40&md5=46951832b9c5b94ba463e2c418e1578e,Age estimation; Bayesian inference; Demirjian’s; Greulich and Pyle; Likelihood ratio,"dental age estimation; dentistry; diagnostic imaging; forensic anthropology; growth, development and aging; human; panoramic radiography; pathology; procedures; third molar; tooth; tooth development; Age Determination by Teeth; Forensic Anthropology; Forensic Dentistry; Humans; Molar, Third; Radiography, Panoramic; Tooth; Tooth Calcification",Article,Final,,Scopus,2-s2.0-85046545731,,,,,
"Bunyarit S.S., Jayaraman J., Naidu M.K., Yuen Ying R.P., Nambiar P., Asif M.K.",8900931000;51565457300;21741225900;57191896135;7003263695;57190606383;,Dental age estimation of Malaysian Chinese children and adolescents: Chaillet and Demirjian’s method revisited using artiﬁcial multilayer perceptron neural network,2019,Australian Journal of Forensic Sciences,,,,,,,,10.1080/00450618.2019.1567810,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062458498&doi=10.1080%2f00450618.2019.1567810&partnerID=40&md5=a83912745461035380a91b6bafcd0a6c,Age estimation; Demirjian’s method; dental age; dental panoramic tomographs; Malaysian Chinese,adolescent; article; artificial neural network; child; Chinese; controlled study; dental age estimation; female; girl; human; male; maturity; perceptron; prediction; preschool child; writing,Article,Article in Press,,Scopus,2-s2.0-85062458498,,,,,
"Cameriere R., Bestetti F., Velandia Palacio L.A., Riccomi G., Skrami E., Parente V., Ferrante L.",6507826165;57118195200;57053541800;57118239100;56151886700;57201032238;55327516300;,Carpals and epiphyses of radius and ulna as age indicators using longitudinal data: a Bayesian approach,2019,International Journal of Legal Medicine,133,1,,197,204,,2,10.1007/s00414-018-1807-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042922926&doi=10.1007%2fs00414-018-1807-7&partnerID=40&md5=195b59b288fcab4eca39cda72f1e008d,Age estimation; Bayesian calibration; Carpals; Forensic statistics,"adolescent; Bayes theorem; bone age determination; carpal bone; child; diagnostic imaging; epiphysis; female; forensic anthropology; growth, development and aging; human; longitudinal study; male; preschool child; procedures; radius; reproducibility; statistical model; ulna; Adolescent; Age Determination by Skeleton; Bayes Theorem; Carpal Bones; Child; Child, Preschool; Epiphyses; Female; Forensic Anthropology; Humans; Longitudinal Studies; Male; Models, Statistical; Radius; Reproducibility of Results; Ulna",Article,Final,,Scopus,2-s2.0-85042922926,,,,,
"Chowdhuri S., Biswas A., Das S., Ghosh R., Guharoy D.",56878699700;56195348600;55605762034;16506912200;57209026559;,A study for estimation of age according to risser’s sign in regional indian (bengali) population,2019,Indian Journal of Forensic Medicine and Toxicology,13,2,,7,12,,,10.5958/0973-9130.2019.00076.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066298246&doi=10.5958%2f0973-9130.2019.00076.8&partnerID=40&md5=a2804d43d2686a24eb904913e588f844,Indian bengali; Pelvic radiograph-forensic age estimation; Risser’s sign,adult; age determination; Article; autopsy; bone age; bone age determination; child; child sexual abuse; female; forensic identification; hemodynamics; human; iliac crest; image quality; major clinical study; male; ossification; pelvis radiography; risser sign; school child; young adult,Article,Final,,Scopus,2-s2.0-85066298246,,,,,
"Chu G., Han M.-Q., Chen T., Zhou H., Guo Y.-C.",57196059171;57203317671;35236150000;56648539500;56009909700;,"Construction of Age Estimation Model of 18-Year-Olds in the Northern Chinese Population Based on the Development of Mandibular Second and Third Molars [基于下颌第二, 第三磨牙发育建立中国北方人群18周岁评估模型]",2019,Journal of Forensic Medicine,35,3,,289,294,,,10.12116/j.issn.1004-5619.2019.03.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069285651&doi=10.12116%2fj.issn.1004-5619.2019.03.005&partnerID=40&md5=d33cea27f28acf6f77fe630afd3abfee,Age estimation; Forensic anthropology; Mandibular; Second molar; Third molar,"adolescent; Asian continental ancestry group; dental age estimation; female; human; male; panoramic radiography; statistical model; third molar; young adult; Adolescent; Age Determination by Teeth; Asian Continental Ancestry Group; Female; Humans; Logistic Models; Male; Molar, Third; Radiography, Panoramic; Young Adult",Article,Final,,Scopus,2-s2.0-85069285651,,,,,
"da Luz L.C.P., Anzulović D., Benedicto E.N., Galić I., Brkić H., Biazevic M.G.H.",57206892111;57206896913;55648710200;57202373100;6701830546;6506215440;,Accuracy of four dental age estimation methodologies in Brazilian and Croatian children,2019,Science and Justice,59,4,,442,447,,,10.1016/j.scijus.2019.02.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062064454&doi=10.1016%2fj.scijus.2019.02.005&partnerID=40&md5=92374f931cd1d7d00c7275b3a7d0203d,Age estimation; Forensic anthropology population data; Forensic dentistry; Forensic odontology; Mineralisation; Orthopantomograms,adolescent; article; Brazilian; child; Croatian (citizen); dental age estimation; dentistry; female; forensic anthropology; human; major clinical study; male; mineralization; stratification,Article,Final,,Scopus,2-s2.0-85062064454,,,,,
"Dallora A.L., Berglund J.S., Brogren M., Kvist O., Ruiz S.D., Dübbel A., Anderberg P.",57192586084;55196737700;57212528737;57192917374;57210193617;57212536900;16300508700;,Age assessment of youth and young adults using magnetic resonance imaging of the knee: A deep learning approach,2019,Journal of Medical Internet Research,21,12, e16291,,,,1,10.2196/16291,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077013897&doi=10.2196%2f16291&partnerID=40&md5=eef1867a088fe09d2c344c009aa11f66,Age assessment; Bone age; Convolutional neural networks; Deep learning; Knee; Machine learning; Magnetic resonance imaging; Medical imaging; Skeletal maturity; Transfer learning,adolescent; adult; article; bone age determination; child; convolutional neural network; deep learning; diagnostic imaging; employment; female; human; human experiment; juvenile; knee; major clinical study; male; maturity; nuclear magnetic resonance imaging; transfer of learning; young adult,Article,Final,Open Access,Scopus,2-s2.0-85077013897,,,,,
"De Tobel J., Hillewig E., de Haas M.B., Van Eeckhout B., Fieuws S., Thevissen P.W., Verstraete K.L.",37121673800;15135790800;57205348334;57205350662;6603226166;13407275300;7003768176;,Forensic age estimation based on T1 SE and VIBE wrist MRI: do a one-fits-all staging technique and age estimation model apply?,2019,European Radiology,29,6,,2924,2935,,2,10.1007/s00330-018-5944-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059675140&doi=10.1007%2fs00330-018-5944-7&partnerID=40&md5=3d55f7f9b02252843d93b76853dee961,Adolescent; Adult; Age determination by skeleton; Magnetic resonance imaging; Wrist,adolescent; adult; article; bone age determination; bone development; Caucasian; controlled study; diagnosis; diagnostic test accuracy study; female; human; human experiment; major clinical study; male; nuclear magnetic resonance imaging; prediction; prospective study; staging; ulna; wrist; Bayes theorem; bone age determination; diagnostic imaging; forensic anthropology; nuclear magnetic resonance imaging; procedures; radius; reproducibility; wrist; young adult; Adolescent; Adult; Age Determination by Skeleton; Bayes Theorem; Female; Forensic Anthropology; Humans; Magnetic Resonance Imaging; Male; Radius; Reproducibility of Results; Ulna; Wrist; Young Adult,Article,Final,,Scopus,2-s2.0-85059675140,,,,,
"De Tobel J., Hillewig E., van Wijk M., Fieuws S., de Haas M.B., van Rijn R.R., Thevissen P.W., Verstraete K.L.",37121673800;15135790800;56519533800;6603226166;57205348334;7003453510;13407275300;7003768176;,Staging Clavicular Development on MRI: Pitfalls and Suggestions for Age Estimation,2019,Journal of Magnetic Resonance Imaging,,,,,,,,10.1002/jmri.26889,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070092387&doi=10.1002%2fjmri.26889&partnerID=40&md5=64213c19df070e409f9b40150ba680e2,adolescent; adult; age determination by skeleton; clavicle; magnetic resonance imaging,adolescent; adult; article; bone age determination; bone development; breath holding; Caucasian; child; clavicle; controlled study; error; female; human; human experiment; interrater reliability; long bone; major clinical study; male; nuclear magnetic resonance imaging; quantitative analysis; reproducibility; staging; volunteer,Article,Article in Press,,Scopus,2-s2.0-85070092387,,,,,
"De Tobel J., Parmentier G.I.L., Phlypo I., Descamps B., Neyt S., Van De Velde W.L., Politis C., Verstraete K.L., Thevissen P.W.",37121673800;57203210735;57200725469;36508452300;55639815700;57203204761;7005376673;7003768176;13407275300;,Magnetic resonance imaging of third molars in forensic age estimation: comparison of the Ghent and Graz protocols focusing on apical closure,2019,International Journal of Legal Medicine,133,2,,583,592,,3,10.1007/s00414-018-1905-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050928507&doi=10.1007%2fs00414-018-1905-6&partnerID=40&md5=d0cd032c2272d2f046bd4040e336caec,Adolescent; Adult; Age determination by teeth; Magnetic resonance imaging; Third molar,"adolescent; adult; comparative study; cross-sectional study; dental age estimation; diagnostic imaging; female; growth, development and aging; human; male; nuclear magnetic resonance imaging; procedures; prospective study; third molar; tooth apex; young adult; Adolescent; Adult; Age Determination by Teeth; Cross-Sectional Studies; Female; Humans; Magnetic Resonance Imaging; Male; Molar, Third; Prospective Studies; Tooth Apex; Young Adult",Article,Final,,Scopus,2-s2.0-85050928507,,,,,
"Ekizoglu O., Inci E., Ors S., Hocaoglu E., Can I.O., Basa C.D., Kacmaz I.E., Kranioti E.F.",23988760300;26431438600;57188668739;35148019300;8549233000;57190016319;57195615335;11239948900;,Forensic age diagnostics by magnetic resonance imaging of the proximal humeral epiphysis,2019,International Journal of Legal Medicine,133,1,,249,256,,1,10.1007/s00414-018-1952-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055435493&doi=10.1007%2fs00414-018-1952-z&partnerID=40&md5=9327e8637d3a70d4c00fc1c435a19dc4,Age estimation; Magnetic resonance imaging; Proximal humeral epiphysis,"adolescent; adult; bone age determination; bone development; child; cross-sectional study; diagnostic imaging; epiphysis; female; forensic anthropology; growth, development and aging; human; humerus; male; nuclear magnetic resonance imaging; procedures; reproducibility; retrospective study; turkey (bird); young adult; Adolescent; Adult; Age Determination by Skeleton; Child; Cross-Sectional Studies; Epiphyses; Female; Forensic Anthropology; Humans; Humerus; Magnetic Resonance Imaging; Male; Osteogenesis; Reproducibility of Results; Retrospective Studies; Turkey; Young Adult",Article,Final,,Scopus,2-s2.0-85055435493,,,,,
"Ekizoglu O., Inci E., Ors S., Kacmaz I.E., Basa C.D., Can I.O., Kranioti E.F.",23988760300;26431438600;57188668739;57195615335;57190016319;8549233000;11239948900;,Applicability of T1-weighted MRI in the assessment of forensic age based on the epiphyseal closure of the humeral head,2019,International Journal of Legal Medicine,133,1,,241,248,,1,10.1007/s00414-018-1868-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047382085&doi=10.1007%2fs00414-018-1868-7&partnerID=40&md5=376d32ff311f488454245a31b1ee95ba,Age estimation; Magnetic resonance imaging; Proximal humeral epiphysis,"adolescent; adult; bone age determination; bone development; child; diagnostic imaging; epiphysis; female; forensic anthropology; growth, development and aging; human; humeral head; male; nuclear magnetic resonance imaging; procedures; reproducibility; turkey (bird); young adult; Adolescent; Adult; Age Determination by Skeleton; Child; Epiphyses; Female; Forensic Anthropology; Humans; Humeral Head; Magnetic Resonance Imaging; Male; Osteogenesis; Reproducibility of Results; Turkey; Young Adult",Article,Final,,Scopus,2-s2.0-85047382085,,,,,
"El-Din E.A.A., Mostafa H.E.S., Tantawy E.F., El-Shafei D.A.",57209223279;57130354200;56925288700;57191668972;,Magnetic resonance imaging of the proximal tibial epiphysis: could it be helpful in forensic age estimation?,2019,"Forensic Science, Medicine, and Pathology",15,3,,352,361,,,10.1007/s12024-019-00116-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066911566&doi=10.1007%2fs12024-019-00116-3&partnerID=40&md5=51d01b3fdc3ebeea0728beadf12f8501,Age estimation; Knee; Magnetic resonance imaging; Radiology; Tibia,adolescent; adult; age determination; article; child; criminal behavior; female; human; knee; major clinical study; male; nuclear magnetic resonance imaging; ossification; preschool child; radiology; retrospective study; tibial epiphysis; young adult,Article,Final,,Scopus,2-s2.0-85066911566,,,,,
